Полное имя;Имя;Печенье?;Масса нетто;Масса брутто;Белки;Жиры;Углеводы;энерг.ценность;ТУ/TU;Категория;Состав:;Срок годности;Штрих код (название файла);Жирным;
Мишки-Гамми;шоколадное со вкусом вишни и мармеладом;Печенье сахарное «Мишки-Гамми» шоколадное со вкусом вишни и мармеладом;5,0 кг;5,3 кг;8;17;60;430 ккал/1763 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, какао-порошок, молоко цельное сгущенное с сахаром, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071847;;
Мишки-Гамми;со вкусом клубники со сливками и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом клубники со сливками и мармеладом;5,0 кг;5,3 кг;6,5;14,3;66,7;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, крахмал кукурузный, сухой яичный меланж,  соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071854;;
Мишки-Гамми;со вкусом фруктового микса и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом фруктового микса и мармеладом;5,0 кг;5,3 кг;6,7;14,4;66,2;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, сухой яичный меланж,  крахмал кукурузный, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071861;;
Мишки-Гамми;со вкусом ягодного микса и мармеладом;Печенье сахарное «Мишки-Гамми» со вкусом ягодного микса и мармеладом;5,0 кг;5,3 кг;6,7;14,4;66,2;420 ккал/1722 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир кондитерский, эмульгатор-лецитин, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), мармелад, молоко цельное сгущенное с сахаром, сухой яичный меланж,  крахмал кукурузный, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071878;;
Бисквитка;Топлёное молоко;Печенье сахарное «Бисквитка» со вкусом топлёного молока;6,0 кг;6,4 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071151;;
Бисквитка;Топлёное молоко;Печенье сахарное «Бисквитка» со вкусом топлёного молока;9,0 кг;9,4 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ У;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071205;;
Бисквитка;Топлёное молоко;Печенье сахарное «Бисквитка» со вкусом топлёного молока;3,0 кг;3,3 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071304;;
Бисквитка;Топлёное молоко;Печенье сахарное «Бисквитка» со вкусом топлёного молока;410 г x 22 шт;9,4 кг;7,6;13,1;71,4;432 ккал/1772 кДж;ТУ/TU 10.72.12-001-15455580-2017;ФАСОВАННОЕ;мука пшеничная в/с, сахар-песок, жир растительный, молоко сгущенное с сахаром, инвертный сироп (сахар-песок, регулятор кислотности - лимонная кислота), сухой яичный меланж, соль поваренная пищевая, разрыхлители: натрий двууглекислый, карбонат аммония, эмульгатор — лецитин, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;;;
Буратино;С маком и изюмом;Печенье сахарное «Буратино» с маком и изюмом;3,0 кг;3,3 кг;7,5;18;63;460 ккал/1930 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, изюм, мак пищевой, крахмал кукурузный, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), молоко сухое обезжиренное, сухой яичный меланж, молоко цельное сгущенное с сахаром, разрыхлители: натрий двууглекислый, карбонат аммония, соль пищевая, эмульгатор — лецитин соевый, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121071281;;
Буратино;С маком и изюмом;Печенье сахарное «Буратино» с маком и изюмом;5,0 кг;5,4 кг;7,5;18;63;460 ккал/1930 кДж;ТУ/TU 10.72.12-001-15455580-2017;ВЕСОВОЕ;мука пшеничная в/с, сахар-песок, жир растительный, изюм, мак пищевой, крахмал кукурузный, инвертный сироп (сахар-песок, регулятор кислотности — лимонная кислота), молоко сухое обезжиренное, сухой яичный меланж, молоко цельное сгущенное с сахаром, разрыхлители: натрий двууглекислый, карбонат аммония, соль пищевая, эмульгатор — лецитин соевый, ароматизатор идентичный натуральному, вкусо-ароматическая добавка «Ваниль».;6 мес;4627121070024;;
